,0,1,2,3,4,5,6,7,8
0,-395.608749243,-119839.064788,5296.86608806,-65.764728894,-21903.092487,173.746892125,0.0,0.0,63801.642653
1,85485.3746287,-109008.145393,-386.070820822,-971.430710403,-22133.7511637,-228.733667946,0.0,0.0,53242.6933945
2,536.549452457,8386.83325935,6093.1314788,-161.386309314,-18996.0846449,-93.5183947638,0.0,0.0,64812.1639685
3,99645.6584632,11669.4439058,-2160.56908554,724.774546747,-18829.9224971,2089.92021454,0.0,0.0,60433.9952283
4,289774.497183,-9828.25154457,179247.830107,-314896.425915,-17143.6706883,4731.96858783,0.0,0.0,5610.04859934
5,31823.355519,-77264.4525727,6364.84070615,10.0722329686,-18246.3478698,-2.69012118829,0.0,0.0,67344.3785367
6,94166.5886257,24717.0463601,-1454.11531219,673.298903126,-16149.8770354,-1936.68462306,0.0,0.0,87888.1003823
7,943.202730156,-2713.43695493,6488.56182516,-305.527893712,-16150.079668,61.2124848572,0.0,0.0,65027.0208036
8,93217.7160729,3838.21843389,11389.5748335,1978.37800782,-15980.0779835,-4159.51429263,0.0,0.0,55529.914783
9,-6708.15146732,25922.4957864,12022.2738687,-4987.07941808,-17134.8212377,-1097.31440736,0.0,0.0,39372.0302699
10,47970.3309208,-16855.7689272,6082.06355163,2207.8243832,-17172.4305294,-20720.1344032,0.0,0.0,42266.5238079
11,172496.79903,-81296.3949847,22951.7890678,50716.4215485,-18972.614211,4913.5657427,0.0,0.0,129632.936325
12,4276.61133405,27076.6017497,5274.38086733,364.081700356,-16827.4871198,100.390431618,0.0,0.0,57923.8117045
13,7771.02859407,-111746.982556,5916.69097183,83.3308708871,-18444.0892454,43.2934828121,0.0,0.0,68102.6608138
14,8705.49407378,-91794.8267779,5678.81787917,-77.761970661,-20766.0516276,-275.443954034,0.0,0.0,65790.9243858
15,102148.706329,-12101.3294192,7440.52234676,3300.61100217,-16602.9144055,1252.94665226,0.0,0.0,67010.848927
16,2423.25002972,-121882.690355,6181.0460367,74.4534709658,-19250.147376,-120.919200582,0.0,0.0,69317.7047066
17,7139.29945226,-32170.5269808,12643.4088764,6754.49602611,-19806.0906157,34001.0041787,0.0,0.0,42024.8146723
18,625315.812187,-99467.5852775,92166.5145378,-69585.8469031,-18013.9179054,-59031.6420401,0.0,0.0,142299.330016
19,96649.9351989,-87293.9590164,4882.74463994,-2719.40158528,-18259.826425,-3564.02627146,0.0,0.0,64969.8924118
20,74870.5364585,-99259.6293955,9242.8371633,8154.85782583,-19623.9170063,-3250.48740647,0.0,0.0,45237.5844835
21,-1666.04252453,-109235.948069,5643.63319022,-191.347970757,-19518.928913,79.7673337286,0.0,0.0,65307.4222666
22,92096.3879032,-80570.9367511,4032.8445213,1547.38216315,-21224.6299486,9990.89697981,0.0,0.0,54425.0575553
23,87693.7169148,-118565.130088,11055.9683632,-4251.59329787,-18198.4776873,2371.28592886,0.0,0.0,72498.9826316
24,105949.231414,-121568.563856,-3449.97910773,-12318.1313008,-19626.9355319,-10327.3123559,0.0,0.0,45869.97957
25,206083.737699,-359.568179211,27273.922933,3443.06864057,-18831.4736839,-3406.03580344,0.0,0.0,68428.1864395
26,102726.053465,-19945.2088876,6685.10138045,599.002647035,-16688.0724626,2345.03104479,0.0,0.0,65936.6590809
27,225694.348768,-112527.575328,35284.4609976,66524.4226112,-20266.7057428,8908.72061805,0.0,0.0,97659.5778021
28,115959.822091,-111133.063923,7047.20217338,1465.51513743,-18461.0265279,828.651654918,0.0,0.0,70383.9115308
29,59864.9214076,26062.4377176,7110.63662847,9262.76152841,-17037.4143951,-559.02814491,0.0,0.0,66698.2987689
30,13031.0590506,7138.73935236,6142.0462668,-48.4012194059,-17890.7697473,127.284656173,0.0,0.0,65614.0716265
31,119395.30539,-57150.7457309,8890.79812234,4309.43439709,-19591.0276545,14870.7104358,0.0,0.0,86407.0943392
32,8907.04106797,-79026.3499708,6564.29747077,104.394170425,-20278.7029845,1.42192119952,0.0,0.0,66823.3544675
33,87844.5663933,-117050.380099,9251.7355252,276.56542014,-22114.2145953,1849.04955828,0.0,0.0,67075.0065705
34,103654.911722,-59265.5820485,4657.87496425,-3814.54992103,-20592.3781024,-925.373739461,0.0,0.0,68618.2627166
35,78949.4462618,23427.2096337,3360.79984351,100.400912609,-15073.0669414,-1902.41527406,0.0,0.0,77233.5889356
36,85666.0040908,-118706.885588,9784.9489877,141.276780016,-18562.86683,-2675.9404066,0.0,0.0,61108.3911419
37,6844.66541621,-17260.2664788,5667.20494043,-3.17574046773,-19600.055282,-100.621013434,0.0,0.0,60575.7750959
38,116745.727485,-27565.2202015,10994.001247,3904.39996872,-18017.1635192,6703.50600177,0.0,0.0,70676.4849188
39,10222.0285605,-108528.502569,6376.79951761,54.7981179719,-21518.6147769,11.1203321329,0.0,0.0,67883.2133044
40,110656.802932,-96075.9658299,2778.62617538,1974.50353457,-17112.8845222,4591.07960451,0.0,0.0,66125.0583993
41,223409.803707,-103018.491389,41554.9343487,38832.9369711,-18518.5147671,19952.3283985,0.0,0.0,77891.4668064
42,102873.701371,-106632.175669,-416.696278402,-48.897319677,-21010.0456194,-5191.02554079,0.0,0.0,53304.272714
43,5597.58165209,-68836.0506785,6260.93914233,-101.784403506,-18982.3335839,-137.133294653,0.0,0.0,68983.1409724
44,130751.164347,-6955.87629436,18121.1139943,-2799.09555206,-18016.967874,-2388.11141411,0.0,0.0,66119.2833729
45,90044.2519155,-20159.1280295,4802.96333156,3089.93258916,-18966.9859185,-89.6194658728,0.0,0.0,56404.5744976
46,-281793.0502,-112966.376994,-95.1167459893,-10334.5162908,-22535.6412946,1049.84250255,0.0,0.0,47384.3605841
47,7445.07638908,-117550.802117,6059.82987469,-116.056020459,-21580.4561212,111.647016642,0.0,0.0,62049.8497098
48,84196.4826293,-38208.6555245,8506.43220949,3168.7601273,-20013.3277698,1672.36100116,0.0,0.0,56121.8008367
49,119595.680859,-50462.7755483,2547.68451187,-18.1425965335,-19618.6974725,-194.237230786,0.0,0.0,65918.1077257
50,112053.502049,-49193.8819547,8015.86590199,-4941.0748521,-19280.4758722,3245.92118777,0.0,0.0,69588.861935
51,101996.443866,-2038.47175374,7048.40748742,1069.10307152,-15993.2456027,-534.289510969,0.0,0.0,71445.9713759
52,97645.3736301,-110750.400919,5348.72254105,-0.42972065735,-18985.107553,11.2670660159,0.0,0.0,61349.3281777
53,59354.8698805,-87775.9482085,-1373.15663908,-25050.2268348,-19292.378785,-29124.8975001,0.0,0.0,44720.9903801
54,11011.4843002,5043.87278318,16973.8821174,-15580.8290625,-18698.0786096,-17211.5106536,0.0,0.0,50793.9808867
55,95359.683873,-78445.9669901,4554.31577949,-931.519094227,-20522.5642171,1083.34673916,0.0,0.0,62925.2011698
56,119610.696052,-100967.601301,5440.22159809,-1873.83360985,-20449.3370222,1007.37352441,0.0,0.0,72556.5127947
57,61669.928246,-14111.4193345,-6035.24496196,-1411.88040953,-18118.0780004,-4047.6436815,0.0,0.0,58715.1265735
58,4805.08531347,-26406.1448549,5828.07418749,98.0950944478,-19284.1197636,246.565328394,0.0,0.0,57614.9263998
59,89650.4585827,-23372.2082948,2915.63369814,-433.172397265,-18358.7949354,503.447446229,0.0,0.0,57911.0772997
